"Nombre d'incendies suivant les critères de sélection : 2682"
"Critères de sélection =>";"Date de première alerte, de : 2023-01-01 00:00:00";"Date de première alerte, jusqu'à : 2023-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2023;6308;"30";"30156";"Marguerittes";"2023-01-20 17:53:00";1000;0;1000;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2023;21362;"83";"83067";"Gonfaron";"2023-01-20 20:02:00";3;0;3;0;0;0;;;;;"Estimées";;;"Non";0;0;0;"Données partielles ou non valides"
2023;3685;"11";"11266";"Port-la-Nouvelle";"2023-01-21 10:20:00";150;5;145;0;0;0;;;;;"Mesurées";;"Accidentelle";"Non";;;;""
2023;21363;"83";"83003";"Ampus";"2023-01-21 13:31:00";18000;0;18000;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21364;"83";"83061";"Fréjus";"2023-01-21 18:09:00";2;2;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;13905;"66";"66030";"Calce";"2023-01-21 22:37:00";600;0;600;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2023;119;"06";"06077";"Lucéram";"2023-01-22 00:35:00";500;0;500;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;15375;"38";"38050";"Le Bouchage";"2023-01-22 00:42:00";100;100;;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2023;2014;"30";"30090";"Concoules";"2023-01-22 14:12:00";300;300;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;13907;"66";"66049";"Céret";"2023-01-22 14:25:00";1920;1920;0;0;0;0;;;;;"Mesurées";;"Involontaire (particulier)";"Non";;;;""
2023;1273;"13";"13050";"Lambesc";"2023-01-23 16:10:00";300;300;0;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2023;15370;"85";"85226";"Saint-Hilaire-de-Riez";"2023-01-24 10:26:00";10;10;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2023;21369;"83";"83121";"Salernes";"2023-01-24 12:10:00";50;0;50;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21370;"83";"83113";"Saint-Julien";"2023-01-24 17:55:00";5;0;5;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21371;"83";"83116";"Saint-Maximin-la-Sainte-Baume";"2023-01-24 19:26:00";10;0;10;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21372;"83";"83015";"Bauduen";"2023-01-25 11:30:00";150;150;0;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";0;0;0;"Données partielles ou non valides"
2023;104;"48";"48004";"Altier";"2023-01-25 13:22:00";15300;3300;0;12000;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2023;1274;"13";"13047";"Istres";"2023-01-25 13:26:00";60;60;0;0;0;0;;;;;"Estimées";"1";"Accidentelle";"Non";;;;""
2023;21373;"83";"83066";"Ginasservis";"2023-01-25 15:50:00";50;0;50;0;0;0;;;;;"Estimées";;;"Non";0;0;0;"Données partielles ou non valides"
2023;21374;"83";"83072";"Lorgues";"2023-01-25 15:59:00";5;5;0;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";0;0;0;"Données partielles ou non valides"
2023;129;"06";"06050";"Coursegoules";"2023-01-26 15:36:00";200;0;200;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2023;3686;"11";"11266";"Port-la-Nouvelle";"2023-01-27 13:17:00";300;10;290;0;0;0;;;;;"Mesurées";;"Accidentelle";"Non";;;;""
2023;1275;"13";"13071";"Les Pennes-Mirabeau";"2023-01-27 18:53:00";10;10;;;;;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2023;381;"34";"34319";"Vailhan";"2023-01-27 20:40:00";8634;0;8634;;;;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2023;131;"06";"06035";"Castellar";"2023-01-28 11:00:00";200;0;200;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;85;"06";"06129";"Saint-Sauveur-sur-Tinée";"2023-01-28 13:18:00";200;0;200;0;0;0;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2023;2664;"26";"26104";"Cornillac";"2023-01-28 14:05:00";5000;5000;0;0;0;0;;;;;"Estimées";"5";"Involontaire (particulier)";"Non";;;;""
2023;252;"56";"56120";"Locqueltas";"2023-01-28 16:05:00";800;800;;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2023;1277;"13";"13022";"Cassis";"2023-01-29 01:05:00";10;10;;;;;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2023;15377;"38";"38455";"Saint-Savin";"2023-01-29 06:43:00";1;1;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;21378;"83";"83097";"Pourrières";"2023-01-29 15:23:00";300;0;300;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;1276;"13";"13040";"Fuveau";"2023-01-29 16:20:00";30;30;;;;;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2023;13921;"66";"66106";"Maureillas-las-Illas";"2023-01-29 17:16:00";200;200;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;3687;"11";"11064";"Camplong-d'Aude";"2023-01-29 17:40:00";1500;1500;0;0;0;0;;;;;"Mesurées";;;"Non";;;;""
2023;21379;"83";"83001";"Les Adrets-de-l'Estérel";"2023-01-29 18:02:00";1;0;1;0;0;0;;;;;"Estimées";;;"Non";0;0;0;"Données partielles ou non valides"
2023;3166;"30";"30137";"Lamelouze";"2023-01-29 23:39:00";3470;3470;0;0;0;0;;;;;"Mesurées";"5";"Involontaire (particulier)";"Non";;;;""
2023;21380;"83";"83080";"Mons";"2023-01-30 11:11:00";550;0;550;0;0;0;;;;;"Estimées";;"Malveillance";"Non";0;0;0;"Données partielles ou non valides"
2023;7954;"84";"84051";"Goult";"2023-01-30 15:48:00";9700;9000;0;0;700;0;;;;;"Mesurées";"2";"Involontaire (particulier)";"Non";;;;""
2023;21381;"83";"83149";"Villecroze";"2023-01-30 20:15:00";20;0;20;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;1279;"13";"13082";"Rognes";"2023-01-31 07:04:00";200;200;;;;;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2023;21382;"83";"83015";"Bauduen";"2023-01-31 12:54:00";10;0;10;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;13926;"66";"66158";"Rasiguères";"2023-01-31 13:44:00";800;0;800;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2023;21383;"83";"83143";"Le Val";"2023-01-31 15:49:00";500;0;500;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21384;"83";"83046";"Cotignac";"2023-01-31 15:56:00";2500;0;2500;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;358;"34";"34092";"Cruzy";"2023-01-31 16:08:00";9817;0;9817;;;;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2023;87;"06";"06072";"Ilonse";"2023-01-31 16:27:00";100;0;100;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2023;21385;"83";"83069";"Hyères";"2023-01-31 18:52:00";500;0;500;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";0;0;0;"Données partielles ou non valides"
2023;353;"34";"34013";"Aspiran";"2023-01-31 19:24:00";21834;0;21834;;;;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2023;3688;"11";"11262";"Narbonne";"2023-01-31 20:15:00";30;0;30;0;0;0;;;;;"Mesurées";;"Malveillance";"Non";;;;""
